Speaker	Transcript	# Words	# Nodes	# Tokens	# Propositions	Tree depth	S-Expression
HOLT 	"Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled."	25	54	30	11	11	"(ROOT (S (S (INTJ (UH Well)) (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB expect) (S (NP (PRP us)) (VP (TO to) (VP (VB cover) (NP (NP (PDT all) (DT the) (NNS issues)) (PP (IN of) (NP (DT this) (NN campaign) (NN tonight)))))))))) (, ,) (CC but) (S (NP (PRP I)) (VP (VB remind) (NP (NN everyone))))) (, ,) (NP (EX there)) (VP (VBP are) (NP (NP (CD two) (JJR more) (JJ presidential) (NNS debates)) (VP (VBN scheduled)))) (. .)))"
HOLT 	"We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics."	24	58	27	16	14	"(ROOT (S (S (NP (PRP We)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB focus) (PP (IN on) (NP (NP (JJ many)) (PP (IN of) (NP (DT the) (NNS issues))))) (SBAR (IN that) (S (NP (NNS voters)) (VP (VBP tell) (SBAR (S (NP (PRP us)) (VP (VBP are) (ADJP (RBS most) (JJ important)))))))))))))) (, ,) (CC and) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB press) (PP (IN for) (NP (NNS specifics))))))))) (. .)))"
HOLT 	"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people."	22	46	26	13	8	"(ROOT (S (S (NP (PRP I)) (VP (VBP am) (ADJP (VBN honored) (S (VP (TO to) (VP (VB have) (NP (DT this) (NN role)))))))) (, ,) (CC but) (S (NP (DT this) (NN evening)) (VP (VBZ belongs) (PP (PP (TO to) (NP (DT the) (NNS candidates))) (CC and) (PRN (, ,) (CONJP (RB just) (IN as)) (ADJP (JJ important)) (, ,)) (PP (TO to) (NP (DT the) (JJ American) (NNS people)))))) (. .)))"
HOLT 	"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values."	21	43	24	9	10	"(ROOT (S (ADVP (RB Candidates)) (, ,) (NP (PRP we)) (VP (VBP look) (ADVP (RB forward)) (PP (TO to) (S (VP (VBG hearing) (S (NP (PRP you)) (VP (VB articulate) (NP (NP (NP (PRP$ your) (NNS policies)) (CC and) (NP (PRP$ your) (NNS positions))) (, ,) (CONJP (RB as) (RB well) (IN as)) (NP (NP (PRP$ your) (NNS visions)) (CC and) (NP (PRP$ your) (NNS values)))))))))) (. .)))"
HOLT 	"So, let's begin."	3	10	6	2	2	"(ROOT (S (ADVP (RB So)) (, ,) (NP (NNP let) (POS 's)) (VP (VBP begin)) (. .)))"
HOLT 	"We're calling this opening segment ""Achieving Prosperity""."	7	17	11	3	5	(ROOT (S (NP (PRP We)) (VP (VBP 're) (VP (VBG calling) (NP (DT this) (JJ opening) (NN segment) (`` ``) (NP (NNP Achieving) (NNP Prosperity)) ('' '')))) (. .)))
HOLT 	And central to that is jobs.	6	14	7	4	4	(ROOT (S (CC And) (NP (NP (JJ central)) (PP (TO to) (NP (DT that)))) (VP (VBZ is) (NP (NNS jobs))) (. .)))
HOLT 	There are two economic realities in America today.	8	16	9	3	5	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (CD two) (JJ economic) (NNS realities)) (PP (IN in) (NP (NNP America) (NN today))))) (. .)))
HOLT 	"There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation."	26	53	29	12	11	"(ROOT (S (S (NP (EX There)) (VP (VBZ 's) (VP (VBN been) (NP (NP (DT a) (JJ record) (CD six) (JJ straight) (NNS years)) (PP (IN of) (NP (NN job) (NN growth))))))) (, ,) (CC and) (S (NP (JJ new) (NN census) (NNS numbers)) (VP (VBP show) (SBAR (S (NP (NNS incomes)) (VP (VBP have) (VP (VBN increased) (PP (IN at) (NP (DT a) (NN record) (NN rate))) (PP (IN after) (NP (NP (NNS years)) (PP (IN of) (NP (NN stagnation))))))))))) (. .)))"
HOLT 	"However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck."	15	35	18	9	6	"(ROOT (S (ADVP (RB However)) (, ,) (S (NP (NN income) (NN inequality)) (VP (VBZ remains) (ADJP (JJ significant)))) (, ,) (CC and) (S (NP (NP (QP (RB nearly) (PDT half))) (PP (IN of) (NP (NNPS Americans)))) (VP (VBP are) (VP (VBG living) (NP (NN paycheck)) (PP (TO to) (NP (NN paycheck)))))) (. .)))"
